Id,Support,Start,End,Strand,Length,REMNANT_&_PROPHAGE_location,PROPHAGE_ANNOTATION_NEW,SAMYPH_annotation,PSEUDOGENE,SMBGC,Protein_product,Protein_ID,GO_ID,Product_name,Product_Uniprot,MP24,MP30,MP36,MP48,MP72,Ycongo24,Y24,Y48,MM,SAF,NAG,ONA,HT,REGULATED_HT_vs_MM,MP24_RPKLOG2,MP30_RPKLOG2,MP36_RPKLOG2,MP48_RPKLOG2,MP72_RPKLOG2,MM_RPKLOG2,NAG_RPKLOG2,ONA_RPKLOG2,HT_RPKLOG2,SAF_RPKLOG2,Y24_RPKLOG2,Ycongo24_RPKLOG2,Y48_RPKLOG2,CAT_MP24,CAT_MP30,CAT_MP36,CAT_MP48,CAT_MP72,CAT_MM,CAT_NAG,CAT_ONA,CAT_HT,CAT_SAF,CAT_Y24,CAT_Ycongo24,CAT_Y48,FoldChange_HTvsMM,log2FoldChange_HTvsMM,stat_HTvsMM,pvalue_HTvsMM,padj_HTvsMM,FoldChange_NAGvsMM,log2FoldChange_NAGvsMM,stat_NAGvsMM,pvalue_NAGvsMM,padj_NAGvsMM,FoldChange_ONAvsMM,log2FoldChange_ONAvsMM,stat_ONAvsMM,pvalue_ONAvsMM,padj_ONAvsMM,FoldChange_HTvsMP24,log2FoldChange_HTvsMP24,stat_HTvsMP24,pvalue_HTvsMP24,padj_HTvsMP24
SAM23877_RS00060,NZ_CP012382.1,10418,11329,+,912,NA,NA,NA,NA,NA,WP_107408705.1,WP_107408705.1,Q1RR76,pyridoxamine 5\\'-phosphate oxidase family protein,Putative ferredoxin NADPH reductase,15,16,32,50,23,12,14,7,558,158,158,90,192,True_Repressed in HT (vs MM),4.1,4.2,5.2,5.8,4.7,9.3,7.4,6.6,7.7,7.4,4,3.8,3.1,0,0,0,1,0,2,1,1,1,1,0,0,0,0.464,-1.107,-2.883,0.00393,0.0175,0.399,-1.325,-3.13099999999999,0.00174,0.012,0.189,-2.404,-4.91099999999999,0.000000906,0.0000137,11.299,3.498,7.39499999999999,0.000000000000141,0.000000000000703
SAM23877_RS38755,NZ_CP012382.1,11759,12061,+,303,NA,NA,NA,NA,NA,WP_244902868.1,WP_159041944.1,A0A0K2AJ90,carboxylesterase family protein,COesterase domain-containing protein,2,5,4,5,5,3,4,7,20,4,11,2,8,False,3.3,4.3,4,4.3,4.3,6.1,5.3,3.3,4.9,4,4,3.7,4.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0.711,-0.491,-1.38599999999999,0.165701680608677,0.317287228531164,0.803,-0.316,-0.911,0.362416451943696,0.574514768366831,0.225,-2.151,-3.071,0.00214,0.011,3.186,1.672,2.42899999999999,0.0151,0.0231
SAM23877_RS00070,NZ_CP012382.1,12455,12919,-,465,NA,NA,NA,NA,NA,WP_053125610.1,WP_053125610.1,Q1RR75,hypothetical protein,"KilB-like protein, role in intramycelial spread (Protein KilB)",28,50,88,275,1427,26,25,146,2209,1278,2761,661,896,True_Repressed in HT (vs MM),6,6.8,7.6,9.2,11.6,12.2,12.5,10.5,10.9,11.4,5.8,5.9,8.3,1,1,1,2,3,3,3,3,3,3,1,1,2,0.532,-0.91,-2.64199999999999,0.00825,0.0321,1.134,0.181,0.596999999999999,0.550273975159122,0.731596258606073,0.375,-1.413,-3.532,0.000412,0.00279,29.586,4.887,11.044,2.34E-028,3.16E-027
SAM23877_RS00075,NZ_CP012382.1,13113,13733,-,621,NA,NA,NA,NA,NA,WP_244902869.1,WP_053125613.1,A0A0K2AJH1,GNAT family N-acetyltransferase,Putative acetyltransferase,115,191,242,527,907,134,135,408,1112,792,1850,425,548,True_Repressed in HT (vs MM),7.5,8.3,8.6,9.7,10.5,10.8,11.5,9.4,9.8,10.3,7.8,7.8,9.4,2,2,2,3,3,3,3,2,2,3,2,2,2,0.592,-0.756,-2.62199999999999,0.00873,0.0336,1.42,0.506,1.734,0.0829,0.214459231856615,0.45,-1.153,-3.559,0.000373,0.00255,4.554,2.187,6.423,0.000000000134,0.000000000515
SAM23877_RS40960,NZ_CP012382.1,14469,14753,+,285,NA,NA,NA,PSEUDOGENE,NA,NA,NA,NA,NA,NA,2,3,5,2,5,2,2,4,6,2,10,4,1,False,3.4,3.8,4.4,3.4,4.4,4.6,5.3,4.1,2.8,3.4,3.4,3.4,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513,-0.964,-1.844,0.0652,0.159210374647031,1.197,0.259,0.746,0.45542971481444,NA,0.879,-0.186,-0.535,0.59262598682309,0.74829231449382,0.715,-0.484,-0.537,0.591063938907252,0.643571631199505
SAM23877_RS00085,NZ_CP012382.1,15107,15499,-,393,NA,NA,NA,NA,NA,WP_053125618.1,WP_053125618.1,Q1RR72,hypothetical protein,Uncharacterized protein SAMT0013,1657,1671,1485,2164,692,1707,1564,580,1023,775,1083,780,827,False,12,12.1,11.9,12.4,10.8,11.3,11.4,11,11,10.9,12,12.1,10.5,3,3,3,3,3,3,3,3,3,3,3,3,3,0.851,-0.233,-1.085,0.277932939464056,0.460698915993856,1.045,0.063,0.269,0.788289988169674,0.890542267975283,0.815,-0.295,-1.39,0.164446845349547,0.315546153212093,0.506,-0.984,-4.008,0.0000613,0.000131
SAM23877_RS40495,NZ_CP012382.1,15535,16299,-,765,NA,NA,NA,NA,NA,WP_218922749.1,NA,NA,hypothetical protein,NA,50,49,18,15,66,48,68,7,344,131,184,146,138,True_Repressed in HT (vs MM),6.1,6,4.6,4.4,6.5,8.8,7.9,7.6,7.5,7.4,6.5,6,3.4,1,1,0,0,1,2,2,1,1,1,1,1,0,0.503,-0.992,-2.951,0.00317,0.0147,0.663,-0.593,-1.86,0.0629,0.177140841533879,0.524,-0.933,-2.75899999999999,0.00579,0.0248,2.646,1.404,3.596,0.000323,0.000628
SAM23877_RS00095,NZ_CP012382.1,16514,17383,-,870,NA,NA,NA,NA,NA,WP_053125620.1,WP_053125620.1,Q1RR69,MBL fold metallo-hydrolase,Putative Zn-dependent hydrolase,185,178,138,127,31,185,187,21,132,72,70,84,79,False,7.7,7.7,7.3,7.2,5.2,7.3,6.4,6.6,6.5,6.4,7.8,7.7,4.7,2,2,1,1,0,1,1,1,1,1,2,2,0,0.669,-0.579,-2.322,0.0202,0.0649,0.606,-0.723,-2.609,0.00908,0.0426,0.699,-0.516,-2.04899999999999,0.0404,0.111432234904326,0.434,-1.205,-4.34,0.0000142,0.0000324
SAM23877_RS00100,NZ_CP012382.1,17417,18028,-,612,NA,NA,NA,NA,NA,WP_053125622.1,WP_053125622.1,Q1RR68,ScbR family autoregulator-binding transcription factor,Putative TetR-family transcriptional regulator,9,32,48,34,47,6,11,6,5540,1204,422,1058,1308,True_Repressed in HT (vs MM),4,5.8,6.3,5.8,6.3,13.1,9.4,10.8,11.1,10.9,4.3,3.5,3.5,0,1,1,1,1,3,2,3,3,3,0,0,0,0.274,-1.868,-4.277,0.0000189,0.000168,0.094,-3.409,-6.942,0.00000000000387,0.00000000036,0.221,-2.18,-4.905,0.000000936,0.0000141,131.109,7.035,15.103,1.54E-051,6.39E-050
SAM23877_RS00105,NZ_CP012382.1,18427,19137,+,711,NA,NA,NA,NA,NA,WP_053125626.1,WP_053125626.1,Q1RR67,HAD family phosphatase,Putative hydrolase,6,7,22,22,6,2,7,27,18,15,6,73,82,True_Induced in HT (vs MM),3.3,3.5,5,5,3.3,4.7,3.3,6.7,6.9,4.5,3.5,2.1,5.3,0,0,0,0,0,0,0,1,1,0,0,0,0,3.111,1.637,3.06099999999999,0.00221,0.0108,0.645,-0.632,-1.625,0.104196484442702,0.252873666530319,2.651,1.406,2.84,0.00452,0.0203,11.142,3.478,5.89299999999999,0.00000000379,0.0000000127
SAM23877_RS00110,NZ_CP012382.1,19503,20348,-,846,NA,NA,NA,NA,NA,WP_053125630.1,WP_053125630.1,A0A0K2AJ39,helix-turn-helix transcriptional regulator,Putative transcriptional regulator,64,87,122,240,812,70,71,446,195,205,186,221,171,False,6.3,6.7,7.2,8.2,9.9,7.9,7.8,8,7.7,7.9,6.4,6.4,9,1,1,1,2,3,2,2,2,1,2,1,1,2,0.908,-0.139,-0.65,0.515384744175917,0.687983646552173,0.959,-0.06,-0.257,0.797299780233404,0.89440206618633,1.086,0.119,0.613999999999999,0.538961537674048,0.706082143599161,2.621,1.39,5.55199999999999,0.0000000283,0.0000000863
SAM23877_RS00115,NZ_CP012382.1,20484,20930,+,447,NA,NA,NA,NA,NA,WP_053125632.1,WP_053125632.1,Q1RR65,nuclear transport factor 2 family protein,Uncharacterized protein SAMT0020,4,4,2,12,12,4,4,14,10,9,3,14,15,False,3.5,3.5,2.7,4.9,4.9,4.6,3.2,5.1,5.2,4.5,3.5,3.5,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.186,0.246,0.783,0.433380902612096,0.616403328189517,0.652,-0.616,-1.571,0.11626842518212,0.271383182581007,1.165,0.221,0.671,0.502071408667567,0.676934595850235,3.411,1.77,2.95,0.00318,0.0054
SAM23877_RS00120,NZ_CP012382.1,20927,21793,+,867,NA,NA,NA,NA,NA,WP_053125634.1,WP_053125634.1,Q1RR64,NAD(P)H-binding protein,Putative oxidoreductase YesF (EC 1.-.-.-),2,2,0,4,14,2,2,4,14,11,18,8,8,False,1.8,1.8,0.2,2.5,4.1,4.1,4.5,3.4,3.4,3.8,1.8,1.8,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765,-0.386,-1.118,0.263538012401329,0.445429241228993,1.06,0.084,0.253,0.800228854245807,0.895740375053822,0.781,-0.357,-1.00299999999999,0.31600210722257,0.496747913323477,2.404,1.266,1.77899999999999,0.0752,0.101431468739935
SAM23877_RS39520,NZ_CP012382.1,21909,22082,-,174,NA,NA,NA,NA,NA,WP_159041946.1,WP_159041946.1,A0A0K2AJA1,hypothetical protein,Uncharacterized protein,4,6,3,5,17,7,7,15,164,25,159,9,18,True_Repressed in HT (vs MM),4.8,5.3,4.5,5.1,6.7,9.9,9.8,5.8,6.8,7.2,5.5,5.5,6.5,1,1,0,0,1,3,3,1,1,1,1,1,1,0.125,-2.997,-5.141,0.000000274,0.00000359,0.986,-0.02,-0.064,0.94923864293979,0.975079236830008,0.067,-3.901,-6.24899999999999,0.000000000413,0.0000000109,3.616,1.854,3.257,0.00113,0.00203
SAM23877_RS00125,NZ_CP012382.1,22085,22957,-,873,NA,NA,NA,NA,NA,WP_244902870.1,WP_079029933.1,A0A0K2B5J7,alpha/beta hydrolase,Putative hydrolase,28,18,16,44,353,17,13,68,2724,552,3095,196,500,True_Repressed in HT (vs MM),5.1,4.4,4.3,5.7,8.7,11.6,11.8,7.8,9.2,9.3,4,4.4,6.3,1,0,0,1,2,3,3,2,2,2,0,0,1,0.212,-2.241,-4.51,0.00000648,0.0000643,1.069,0.096,0.312,0.755310207293781,0.872927237104467,0.082,-3.615,-6.96699999999999,0.00000000000323,0.000000000114,16.002,4,8.371,5.73E-017,3.69E-016
SAM23877_RS00130,NZ_CP012382.1,23037,23594,+,558,NA,NA,NA,NA,NA,WP_053125639.1,WP_053125639.1,Q1RR61,ABATE domain-containing protein,Uncharacterized protein SAMT0024,77,59,58,101,266,118,103,285,826,360,939,96,170,True_Repressed in HT (vs MM),7.1,6.7,6.7,7.5,8.9,10.5,10.7,7.4,8.3,9.3,7.5,7.7,9,1,1,1,1,2,3,3,1,2,2,2,2,2,0.216,-2.21,-6.67499999999999,0.0000000000247,0.00000000061,1.093,0.129,0.5,0.616963615497668,0.785452541132163,0.122,-3.03,-8.93399999999999,4.12E-019,3.24E-017,2.158,1.11,3.65799999999999,0.000254,0.000501
SAM23877_RS00135,NZ_CP012382.1,23713,24216,-,504,NA,NA,NA,NA,NA,WP_053141972.1,WP_079029934.1,Q1RR60,AAA family ATPase,Putative phosphotransferase,81,119,110,152,258,106,124,152,162,102,80,110,94,False,7.3,7.9,7.8,8.2,9,8.3,7.3,7.8,7.6,7.7,8,7.7,8.2,2,2,2,2,2,2,1,2,1,2,2,2,2,0.674,-0.57,-2.16699999999999,0.0302,0.0885,0.582,-0.782,-2.619,0.00881,0.0418,0.755,-0.405,-1.584,0.113301928318337,0.23941874063218,1.17,0.226,0.73,0.465315371319018,0.521178900258421
SAM23877_RS39525,NZ_CP012382.1,24860,24997,-,138,NA,NA,NA,NA,NA,WP_159041947.1,WP_159041947.1,A0A0K2AJA4,hypothetical protein,Uncharacterized protein,21,37,65,101,782,23,25,107,2050,442,494,589,550,True_Repressed in HT (vs MM),7.3,8.1,8.9,9.5,12.5,13.9,11.8,12.1,12,11.6,7.6,7.4,9.6,1,2,2,2,3,3,3,3,3,3,2,2,2,0.282,-1.826,-6.171,0.000000000677,0.0000000142,0.266,-1.91,-6.08,0.0000000012,0.0000000622,0.31,-1.689,-5.84799999999999,0.00000000498,0.000000113,24.963,4.642,15.601,7.12E-055,3.54E-053
SAM23877_RS00140,NZ_CP012382.1,25010,25600,-,591,NA,NA,NA,NA,NA,WP_244902871.1,WP_079029935.1,A0A0K2AJB9,RHS repeat-associated core domain-containing protein,Putative secreted protein,105,131,209,413,395,99,100,538,592,257,224,280,228,True_Repressed in HT (vs MM),7.5,7.8,8.5,9.5,9.4,10,8.6,8.9,8.6,8.8,7.4,7.4,9.8,2,2,2,2,2,3,2,2,2,2,1,2,3,0.421,-1.246,-4.865,0.00000114,0.0000132,0.419,-1.255,-4.55,0.00000536,0.0000974,0.516,-0.954,-3.863,0.000112,0.000938,2.139,1.097,4.34999999999999,0.0000136,0.0000311
SAM23877_RS39530,NZ_CP012382.1,25620,25799,-,180,NA,NA,NA,NA,NA,WP_053141961.1,WP_053141961.1,A0A0K2B5W3,hypothetical protein,Uncharacterized protein,30,46,72,102,61,34,41,98,126,39,36,44,44,True_Repressed in HT (vs MM),7.4,8,8.7,9.2,8.4,9.5,7.7,8,8,7.8,7.9,7.6,9.1,2,2,2,2,2,2,2,2,2,2,2,2,2,0.413,-1.277,-3.56499999999999,0.000365,0.00229,0.362,-1.464,-3.742,0.000182,0.00197,0.421,-1.247,-3.508,0.000452,0.00302,1.396,0.481,1.26,0.207702891575468,0.255389601575289
SAM23877_RS40965,NZ_CP012382.1,25858,26226,-,369,NA,NA,NA,PSEUDOGENE,NA,NA,NA,NA,NA,NA,6,9,18,30,160,8,8,41,110,68,34,70,57,False,4.2,4.8,5.7,6.4,8.8,8.2,6.6,7.6,7.3,7.5,4.6,4.6,6.8,0,0,1,1,2,2,1,1,1,1,0,0,1,0.688,-0.54,-1.687,0.0915,0.204187034034315,0.459,-1.123,-2.7,0.00694,0.0346,0.78,-0.358,-1.151,0.249887659592073,0.423140786583239,7.925,2.986,5.815,0.00000000608,0.0000000199
SAM23877_RS00145,NZ_CP012382.1,26976,27636,-,661,NA,NA,NA,PSEUDOGENE,NA,NA,NA,NA,NA,NA,15,14,16,41,327,17,30,99,118,103,98,62,84,False,4.6,4.5,4.7,6,9,7.5,7.2,6.6,7,7.3,5.6,4.8,7.2,0,0,0,1,2,1,1,1,1,1,1,1,1,0.817,-0.292,-1.07,0.284644517857165,0.467247785333253,0.896,-0.159,-0.546,0.584897979224466,0.761027825898376,0.639,-0.645,-2.06,0.0394,0.109271425121646,4.991,2.319,5.82599999999999,0.00000000567,0.0000000186
SAM23877_RS00150,NZ_CP012382.1,27633,27993,-,361,NA,NA,NA,PSEUDOGENE,NA,NA,NA,NA,NA,NA,107,167,156,361,344,205,109,434,88,125,58,79,82,False,8.2,8.9,8.8,10,9.9,7.9,7.4,7.8,7.8,8.4,8.3,9.2,10.2,2,2,2,3,3,2,1,2,2,2,2,2,3,0.961,-0.058,-0.223,0.823180754403638,0.907536282963866,0.765,-0.387,-1.298,0.194341521426848,0.387943334311989,0.94,-0.09,-0.352999999999999,0.724133761218371,0.844341121420623,0.78,-0.358,-1.00699999999999,0.313720621868702,0.368208409825012
SAM23877_RS00155,NZ_CP012382.1,28351,28888,+,538,NA,NA,NA,PSEUDOGENE,NA,NA,NA,NA,NA,NA,37,27,41,99,106,59,60,194,59,25,33,21,21,True_Repressed in HT (vs MM),6.1,5.7,6.3,7.5,7.6,6.8,6,5.4,5.4,5.6,6.8,6.8,8.5,1,1,1,1,2,1,1,0,0,1,1,1,2,0.47,-1.089,-2.95,0.00317,0.0147,0.699,-0.517,-1.616,0.106003267094758,0.254879773380922,0.463,-1.112,-2.968,0.003,0.0145,0.588,-0.767,-1.814,0.0697,0.0947
SAM23877_RS00160,NZ_CP012382.1,29269,32142,-,2874,NA,NA,NA,PSEUDOGENE,NA,NA,NA,NA,NA,NA,10,85,230,153,713,14,17,124,226,1126,678,2390,697,False,1.9,4.9,6.3,5.7,8,6.3,7.9,9.7,7.9,8.6,2.6,2.4,5.4,0,0,1,1,2,1,2,2,2,2,0,0,0,1.982,0.987,2.358,0.0184,0.06,1.809,0.855,2.10199999999999,0.0355,0.119008683136774,8.488,3.085,4.942,0.000000772,0.0000118,58.037,5.859,9.489,2.33E-021,2.1E-020
SAM23877_RS00165,NZ_CP012382.1,33100,33414,+,315,NA,NA,NA,NA,NA,WP_053125643.1,WP_053125643.1,Q1RR51,hypothetical protein,Uncharacterized protein SAMT0034,2,13,24,14,11,5,4,12,7,9,5,12,11,False,3.3,5.5,6.3,5.6,5.3,4.7,4.3,5.4,5.3,5,4,4.3,5.4,0,1,1,1,0,0,0,0,0,0,0,0,0,1.135,0.183,0.561,0.574856290276183,0.732994449374675,0.901,-0.151,-0.444,0.656759630015354,0.812673486488861,1.245,0.316,0.879,0.379261133184311,0.562829303447544,3.576,1.838,2.463,0.0138,0.0212
SAM23877_RS00170,NZ_CP012382.1,33825,34481,-,657,NA,NA,NA,NA,NA,WP_053125645.1,WP_053125645.1,Q1RR50,class I SAM-dependent methyltransferase,Putative SAM-dependent methyltransferase,12,11,9,19,18,14,12,10,30,19,38,28,16,False,4.3,4.2,3.9,4.9,4.9,5.6,5.9,5.5,4.7,4.9,4.3,4.5,4.1,0,0,0,0,0,1,1,1,0,0,0,0,0,0.671,-0.575,-1.821,0.0686,0.164541754461645,1.135,0.182,0.61,0.54198039256714,0.726275297792139,0.953,-0.069,-0.251,0.801779959612961,0.894062372915995,1.281,0.357,0.801,0.422922978202873,0.479282090563448
SAM23877_RS00175,NZ_CP012382.1,34708,35244,-,537,NA,NA,NA,NA,NA,WP_053125647.1,WP_053125647.1,Q1RR49,hypothetical protein,Uncharacterized protein SAMT0036,73,60,43,53,52,92,85,28,90,34,106,34,53,False,7.1,6.8,6.4,6.7,6.6,7.4,7.6,6,6.7,6,7.3,7.4,5.8,1,1,1,1,1,1,2,1,1,1,1,2,1,0.731,-0.451,-1.53699999999999,0.124297234188231,0.25809871965464,1.098,0.134,0.452,0.651586684458901,0.809984084912525,0.494,-1.017,-2.777,0.00548,0.0237,0.745,-0.425,-1.03899999999999,0.298947674719115,0.352682939893918
SAM23877_RS00180,NZ_CP012382.1,36113,36814,-,702,NA,NA,NA,NA,NA,WP_053125649.1,WP_053125649.1,Q1RR48,restriction endonuclease,Putative transmembrane restriction endonuclease,5,22,79,139,27,7,4,41,200,120,189,72,181,False,3.1,5,6.8,7.6,5.3,8.2,8.1,6.7,8,7.4,2.8,3.5,5.9,0,0,1,1,1,2,2,1,2,1,0,0,1,0.947,-0.079,-0.303999999999999,0.761130305201823,0.870971613428455,0.968,-0.046,-0.162,0.871243130280028,0.934891948295289,0.441,-1.183,-3.351,0.000806,0.00492,35.21,5.138,11.567,6.06E-031,9.26E-030
SAM23877_RS00185,NZ_CP012382.1,36811,36996,-,186,NA,NA,NA,NA,NA,WP_053125651.1,WP_063796762.1,Q1RR47,hypothetical protein,Uncharacterized protein SAMT0038,2,15,40,99,17,5,4,32,83,35,50,23,57,False,4,6.4,7.8,9.1,6.6,8.8,8.1,7,8.3,7.6,4.7,5,7.5,0,1,2,2,1,2,2,1,2,1,0,1,1,0.786,-0.347,-1.296,0.194829613898609,0.359492379269851,0.706,-0.503,-1.67,0.0949,0.236014961459416,0.319,-1.648,-4.22299999999999,0.0000241,0.000249,23.786,4.572,9.15199999999999,5.6E-020,4.57E-019
